timestamp,type,qty,price_spot,price_future,pnl,exit_time
2024-08-18 00:00:00+00:00,open,5.043204290623725,59485.99,59459.9,14.17140405667762,2024-08-18 04:00:00+00:00
2024-08-18 04:01:00+00:00,open,5.051605836743665,59359.84,59332.9,13.336239409000335,2024-08-18 08:01:00+00:00
2024-08-18 08:02:00+00:00,open,5.035708586384279,59519.45,59486.4,-36.55924433712349,2024-08-18 12:02:00+00:00
2024-08-18 12:03:00+00:00,open,4.987164452902491,60040.75,60010.6,23.689031151286834,2024-08-18 16:03:00+00:00
2024-08-18 16:04:00+00:00,open,4.996240213229751,59909.95,59875.0,6.79488668999537,2024-08-18 20:04:00+00:00
2024-08-18 20:05:00+00:00,open,5.010462418207711,59708.12,59677.4,40.284117842394366,2024-08-19 00:05:00+00:00
2024-08-19 00:06:00+00:00,open,5.124285481300718,58370.41,58335.0,-7.1227568190423,2024-08-19 04:06:00+00:00
2024-08-19 04:07:00+00:00,open,5.093480543988359,58684.0,58645.0,-50.62919660725615,2024-08-19 08:07:00+00:00
2024-08-19 08:08:00+00:00,open,5.096694909123024,58582.0,58543.3,-53.973999087595026,2024-08-19 12:08:00+00:00
2024-08-19 12:09:00+00:00,open,5.103943327271854,58431.98,58395.0,-20.824088775278078,2024-08-19 16:09:00+00:00
2024-08-19 16:10:00+00:00,open,5.091794015502096,58523.99,58491.5,-26.986508282138878,2024-08-19 20:10:00+00:00
2024-08-19 20:11:00+00:00,open,5.049348281860238,58964.51,58929.5,9.5937617355418,2024-08-20 00:11:00+00:00
2024-08-20 00:12:00+00:00,open,5.008176449247777,59419.33,59381.9,-16.577064047034924,2024-08-20 04:12:00+00:00
2024-08-20 04:13:00+00:00,open,4.878179441138657,60955.98,60921.4,3.8537617585037984,2024-08-20 08:13:00+00:00
2024-08-20 08:14:00+00:00,open,4.888373666774479,60794.73,60761.0,-37.10275613083679,2024-08-20 12:14:00+00:00
2024-08-20 12:15:00+00:00,open,4.8930038497957575,60678.01,60645.0,38.60580037488568,2024-08-20 16:15:00+00:00
2024-08-20 16:16:00+00:00,open,5.034179583226334,58964.01,58924.1,-48.78120016151153,2024-08-20 20:16:00+00:00
2024-08-20 20:17:00+00:00,open,4.976334677215601,59584.21,59548.4,4.528464556283577,2024-08-21 00:17:00+00:00
2024-08-21 00:18:00+00:00,open,5.002147044174563,59243.89,59207.0,-79.4841165319309,2024-08-21 04:18:00+00:00
2024-08-21 04:19:00+00:00,open,4.988173712036425,59326.4,59306.5,45.39238077952421,2024-08-21 08:19:00+00:00
2024-08-21 08:20:00+00:00,open,4.978956150892551,59427.92,59401.8,14.887078891194811,2024-08-21 12:20:00+00:00
2024-08-21 12:21:00+00:00,open,4.9868252017153445,59307.5,59274.9,18.40138499434123,2024-08-21 16:21:00+00:00
2024-08-21 16:22:00+00:00,open,4.962285016763842,59576.16,59546.5,47.58831331074792,2024-08-21 20:22:00+00:00
2024-08-21 20:23:00+00:00,open,4.811079551829305,61441.36,61407.8,7.457173305349425,2024-08-22 00:23:00+00:00
2024-08-22 00:24:00+00:00,open,4.841284604549101,61026.01,60987.6,-1.1619083051171464,2024-08-22 04:24:00+00:00
2024-08-22 04:25:00+00:00,open,4.875392661991515,60562.0,60528.1,21.354219859510064,2024-08-22 08:25:00+00:00
2024-08-22 08:26:00+00:00,open,4.8344097915346484,61052.01,61015.9,10.684045639287351,2024-08-22 12:26:00+00:00
2024-08-22 12:27:00+00:00,open,4.821464387809061,61185.85,61149.3,-29.12164490233586,2024-08-22 16:27:00+00:00
2024-08-22 16:28:00+00:00,open,4.8738470853595315,60474.0,60440.1,-37.577361028117735,2024-08-22 20:28:00+00:00
2024-08-22 20:29:00+00:00,open,4.877301189293079,60371.8,60345.7,20.38711897124649,2024-08-23 00:29:00+00:00
2024-08-23 00:30:00+00:00,open,4.853499153759202,60644.07,60613.4,-3.25184443301019,2024-08-23 04:30:00+00:00
2024-08-23 04:31:00+00:00,open,4.846746616981902,60690.11,60662.6,-1.6963613159366127,2024-08-23 08:31:00+00:00
2024-08-23 08:32:00+00:00,open,4.8046533472566155,61184.02,61160.2,-8.215957223804617,2024-08-23 12:32:00+00:00
2024-08-23 12:33:00+00:00,open,4.823759898457294,60900.0,60875.0,53.30254687796714,2024-08-23 16:33:00+00:00
2024-08-23 16:34:00+00:00,open,4.771695374803383,61561.06,61524.5,27.580399266358,2024-08-23 20:34:00+00:00
2024-08-23 20:35:00+00:00,open,4.620332654200446,63557.57,63514.6,-94.99403937035042,2024-08-24 00:35:00+00:00
2024-08-24 00:36:00+00:00,open,4.588932532599386,63891.97,63867.2,61.6293639127777,2024-08-24 04:36:00+00:00
